scientificName,scientificNameID,taxonRank,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,verbatimIdentification
Metridia pacifica,urn:lsid:marinespecies.org:taxname:196784,Species,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Metridia,"Brodsky, 1950",METRIDIA PACIFICA
Metridiidae,urn:lsid:marinespecies.org:taxname:100678,Family,Animalia,Cnidaria,Hexacorallia,Actiniaria,Metridiidae,,"Carlgren, 1893",METRIDIIDAE
Microcalanus,urn:lsid:marinespecies.org:taxname:104164,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Microcalanus,"Sars G.O., 1903",MICROCALANUS
Halacaroidea,urn:lsid:marinespecies.org:taxname:292685,Superfamily,Animalia,Arthropoda,Arachnida,Trombidiformes,,,"Cunliffe, 1954",MITES
Mitrocoma cellularia,urn:lsid:marinespecies.org:taxname:292350,Species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocoma,"(Agassiz, 1862)",MITROCOMA CELLULARIA
Mitrocomella,urn:lsid:marinespecies.org:taxname:117162,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocomella,"Haeckel, 1879",MITROCOMELLA
Mollusca,urn:lsid:marinespecies.org:taxname:51,Phylum,Animalia,Mollusca,,,,,,MOLLUSCA
Monothula subtilis,urn:lsid:marinespecies.org:taxname:237984,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Monothula,"(Giesbrecht, 1893)",MONOTHULA SUBTILIS
Muggiaea atlantica,urn:lsid:marinespecies.org:taxname:135441,Species,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,"Cunningham, 1892",MUGGIAEA ATLANTICA
Munida quadrispina,urn:lsid:marinespecies.org:taxname:392422,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,"Benedict, 1902",MUNIDA QUADRISPINA
Mysidacea,urn:lsid:marinespecies.org:taxname:2824,Order,Animalia,Arthropoda,Malacostraca,Mysidacea,,,"Haworth, 1825",MYSIDACEA
Mysidella americana,urn:lsid:marinespecies.org:taxname:226220,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Mysidella,"Banner, 1948",MYSIDELLA AMERICANA
Mitrocoma cellularia,urn:lsid:marinespecies.org:taxname:292350,Species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Mitrocomidae,Mitrocoma,"(Agassiz, 1862)",Mitrocoma cellularia
Monstrilloida,urn:lsid:marinespecies.org:taxname:1106,Order,Animalia,Arthropoda,Copepoda,Monstrilloida,,,"Sars G.O., 1901",Monstrilloida
Muggiaea atlantica,urn:lsid:marinespecies.org:taxname:135441,Species,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,"Cunningham, 1892",Muggiaea atlantica
Narcomedusae,urn:lsid:marinespecies.org:taxname:16349,Order,Animalia,Cnidaria,Hydrozoa,Narcomedusae,,,"Haeckel, 1879",NARCOMEDUSIDA
Nematoda,urn:lsid:marinespecies.org:taxname:799,Phylum,Animalia,Nematoda,,,,,,NEMATODA
Nematoscelis difficilis,urn:lsid:marinespecies.org:taxname:237861,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Nematoscelis,"Hansen, 1911",NEMATOSCELIS DIFFICILIS
Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",NEOCALANUS CRISTATUS
Neocalanus plumchrus,urn:lsid:marinespecies.org:taxname:196772,Species,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,"(Marukawa, 1921)",NEOCALANUS PLUMCHRUS
Neomysis,urn:lsid:marinespecies.org:taxname:119888,Genus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,"Czerniavsky, 1882",NEOMYSIS
Neotrypaea californiensis,urn:lsid:marinespecies.org:taxname:465347,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,"(Dana, 1854)",NEOTRYPAEA CALIFORNIENSIS
Noctiluca,urn:lsid:marinespecies.org:taxname:109500,Genus,Chromista,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,"Suriray, 1836",NOCTILUCA
Nudibranchia,urn:lsid:marinespecies.org:taxname:1762,Order,Animalia,Mollusca,Gastropoda,Nudibranchia,,,"Cuvier, 1817",NUDIBRANCHIA
Nanomia bijuga,urn:lsid:marinespecies.org:taxname:135495,Species,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Agalmatidae,Nanomia,"(Delle Chiaje, 1844)",Nanomia bijuga
Nemertea,urn:lsid:marinespecies.org:taxname:152391,Phylum,Animalia,Nemertea,,,,,,Nemertea
Obelia,urn:lsid:marinespecies.org:taxname:117034,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,"Péron & Lesueur, 1810",OBELIA
Octopoda,urn:lsid:marinespecies.org:taxname:11718,Order,Animalia,Mollusca,Cephalopoda,Octopoda,,,"Leach, 1818",OCTOPODA
Oikopleura,urn:lsid:marinespecies.org:taxname:103367,Genus,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,"Mertens, 1830",OIKOPLEURA
Oithona atlantica,urn:lsid:marinespecies.org:taxname:106642,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,"Farran, 1908",OITHONA ATLANTICA
Oithona similis,urn:lsid:marinespecies.org:taxname:106656,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,"Claus, 1866",OITHONA SIMILIS
Oncaea prolata,urn:lsid:marinespecies.org:taxname:344725,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,"Heron, 1977",ONCAEA PROLATA
Oncaeidae,urn:lsid:marinespecies.org:taxname:128586,Family,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,,"Giesbrecht, 1893",ONCAEIDAE
Ophiuroidea,urn:lsid:marinespecies.org:taxname:123084,Class,Animalia,Echinodermata,Ophiuroidea,,,,"Gray, 1840",OPHIUROIDEA
Oregonia gracilis,urn:lsid:marinespecies.org:taxname:442171,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,"Dana, 1851",OREGONIA GRACILIS
Orthopagurus schmitti,urn:lsid:marinespecies.org:taxname:592893,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Orthopagurus,"(Stevens, 1925)",ORTHOPAGURUS SCHMITTI
Ostracoda,urn:lsid:marinespecies.org:taxname:1078,Class,Animalia,Arthropoda,Ostracoda,,,,"Latreille, 1802",OSTRACODA
Oweniidae,urn:lsid:marinespecies.org:taxname:975,Family,Animalia,Annelida,Polychaeta,,Oweniidae,,"Rioja, 1917",OWENIIDAE
Pachycheles,urn:lsid:marinespecies.org:taxname:205958,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,"Stimpson, 1858",PACHYCHELES
Pacifacanthomysis nephrophthalma,urn:lsid:marinespecies.org:taxname:226746,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Pacifacanthomysis,"(Banner, 1948)",PACIFACANTHOMYSIS NEPHROPHTHALMA
Paguridae,urn:lsid:marinespecies.org:taxname:106738,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,,"Latreille, 1802",PAGURIDAE
Pagurus,urn:lsid:marinespecies.org:taxname:106854,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,"Fabricius, 1775",PAGURUS
Pandalidae,urn:lsid:marinespecies.org:taxname:106789,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,,"Haworth, 1825",PANDALIDAE
Pandalus stenolepis,urn:lsid:marinespecies.org:taxname:514361,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"Rathbun, 1902",PANDALUS STENOLEPIS
Pandeidae,urn:lsid:marinespecies.org:taxname:15029,Family,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,,"Haeckel, 1879",PANDEIDAE
Paracalanus,urn:lsid:marinespecies.org:taxname:104196,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,"Boeck, 1865",PARACALANUS
Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,Species,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Paraeuchaeta,"(Esterly, 1913)",PARAEUCHAETA ELONGATA
Paraphronima crassipes,urn:lsid:marinespecies.org:taxname:236596,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Paraphronimidae,Paraphronima,"Claus, 1879",PARAPHRONIMA CRASSIPES
Pasiphaea pacifica,urn:lsid:marinespecies.org:taxname:514245,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,"Rathbun, 1902",PASIPHAEA PACIFICA
Peachia,urn:lsid:marinespecies.org:taxname:100749,Genus,Animalia,Cnidaria,Hexacorallia,Actiniaria,Peachiidae,Peachia,"Gosse, 1855",PEACHIA
Penaeidae,urn:lsid:marinespecies.org:taxname:106727,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,,"Rafinesque, 1815",PENAEIDAE
Petrolisthes,urn:lsid:marinespecies.org:taxname:206848,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,"Stimpson, 1858",PETROLISTHES
Phoronida,urn:lsid:marinespecies.org:taxname:1789,Phylum,Animalia,Phoronida,,,,,"Hatschek, 1888",PHORONIDA
Pinnixa,urn:lsid:marinespecies.org:taxname:158444,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,"White, 1846",PINNIXA
Pinnotheres,urn:lsid:marinespecies.org:taxname:106976,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnotheres,"Bosc, 1801",PINNOTHERES
Pinnotheridae,urn:lsid:marinespecies.org:taxname:106775,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,,"De Haan, 1833",PINNOTHERIDAE
Platyhelminthes,urn:lsid:marinespecies.org:taxname:793,Phylum,Animalia,Platyhelminthes,,,,,"Minot, 1876",PLATYHELMINTHES
Pleurobrachia bachei,urn:lsid:marinespecies.org:taxname:265191,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Cydippidae,Pleurobrachia,"A. Agassiz, in L. Agassiz, 1860",PLEUROBRACHIA BACHEI
Pleuromamma,urn:lsid:marinespecies.org:taxname:104191,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma,"Giesbrecht in Giesbrecht & Schmeil, 1898",PLEUROMAMMA
Podon,urn:lsid:marinespecies.org:taxname:106269,Genus,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Podon,"Lilljeborg, 1853",PODON
Polychaeta,urn:lsid:marinespecies.org:taxname:883,Class,Animalia,Annelida,Polychaeta,,,,"Grube, 1850",POLYCHAETA
Porcellanidae,urn:lsid:marinespecies.org:taxname:106734,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,"Haworth, 1825",PORCELLANIDAE
Primno macropa,urn:lsid:marinespecies.org:taxname:180759,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Phrosinidae,Primno,"Guérin-Méneville, 1836",PRIMNO MACROPA
Proboscidactyla flavicirrata,urn:lsid:marinespecies.org:taxname:117834,Species,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Proboscidactylidae,Proboscidactyla,"Brandt, 1835",PROBOSCIDACTYLA FLAVICIRRATA
Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Boeck, 1873",PSEUDOCALANUS
Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Boeck, 1873",PSEUDOCALANUS Lg
Pseudocalanus mimus,urn:lsid:marinespecies.org:taxname:355067,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Frost, 1989",PSEUDOCALANUS MIMUS
Pseudocalanus minutus,urn:lsid:marinespecies.org:taxname:104517,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"(Krøyer, 1845)",PSEUDOCALANUS MINUTUS
Pseudocalanus moultoni,urn:lsid:marinespecies.org:taxname:157678,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Frost, 1989",PSEUDOCALANUS MOULTONI
Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,Species,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Frost, 1989",PSEUDOCALANUS NEWMANI
Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Pseudocalanus,"Boeck, 1873",PSEUDOCALANUS Sm
Pseudomma,urn:lsid:marinespecies.org:taxname:119900,Genus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Pseudomma,"G.O. Sars, 1870",PSEUDOMMA
Pteropoda,urn:lsid:marinespecies.org:taxname:325345,Order,Animalia,Mollusca,Gastropoda,Pteropoda,,,"Cuvier, 1804",PTEROPODA
Ptychogena lactea,urn:lsid:marinespecies.org:taxname:117728,Species,Animalia,Cnidaria,Hydrozoa,Leptothecata,Laodiceidae,Ptychogena,"Agassiz, 1865",PTYCHOGENA LACTEA
Pugettia,urn:lsid:marinespecies.org:taxname:240779,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,"Dana, 1851",PUGETTIA
Pycnogonida,urn:lsid:marinespecies.org:taxname:1302,Class,Animalia,Arthropoda,Pycnogonida,,,,"Latreille, 1810",PYCNOGONIDA
Physonectae,urn:lsid:marinespecies.org:taxname:135335,Suborder,Animalia,Cnidaria,Hydrozoa,Siphonophorae,,,"Haeckel, 1888",Physonect
Pleurobrachia bachei,urn:lsid:marinespecies.org:taxname:265191,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Cydippidae,Pleurobrachia,"A. Agassiz, in L. Agassiz, 1860",Pleurobrachia bachei
Poecilostomatoida,urn:lsid:marinespecies.org:taxname:1103,Suborder,Animalia,Arthropoda,Copepoda,Cyclopoida,,,"Thorell, 1859",Poecilostomatoida
Porcellanidae,urn:lsid:marinespecies.org:taxname:106734,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,"Haworth, 1825",Porcellanidae
Racovitzanus antarcticus,urn:lsid:marinespecies.org:taxname:104784,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Racovitzanus,"Giesbrecht, 1902",RACOVITZANUS ANTARCTICUS
Rathkea,urn:lsid:marinespecies.org:taxname:117211,Genus,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Rathkeidae,Rathkea,"Brandt, 1837",RATHKEA
Rhinolithodes,urn:lsid:marinespecies.org:taxname:550609,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Rhinolithodes,"Brandt, 1848",RHINOLITHODES
Rhynchonereella angelini,urn:lsid:marinespecies.org:taxname:416504,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Rhynchonereella,"(Kinberg, 1866)",RHYNCHONEREELLA ANGELINI
Salpa,urn:lsid:marinespecies.org:taxname:137233,Genus,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,"Forskål, 1775",SALPA
Sarsia,urn:lsid:marinespecies.org:taxname:117070,Genus,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,"Lesson, 1843",SARSIA
Scaphocalanus brevicornis,urn:lsid:marinespecies.org:taxname:104790,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus,"(Sars G.O., 1900)",SCAPHOCALANUS BREVICORNIS
Scaphocalanus echinatus,urn:lsid:marinespecies.org:taxname:104793,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus,"(Farran, 1905)",SCAPHOCALANUS ECHINATUS
Scolecithricella,urn:lsid:marinespecies.org:taxname:104229,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,"Sars G.O., 1902",SCOLECITHRICELLA
Scolecithricella dentata,urn:lsid:marinespecies.org:taxname:104807,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,"(Giesbrecht, 1893)",SCOLECITHRICELLA DENTATA
Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,"(Brady, 1883)",SCOLECITHRICELLA MINOR
Scolecithricella minor,urn:lsid:marinespecies.org:taxname:104811,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,"(Brady, 1883)",SCOLECITHRICELLA Minor
Scolecithricella ovata,urn:lsid:marinespecies.org:taxname:104814,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,"(Farran, 1905)",SCOLECITHRICELLA OVATA
Scolecitrichidae,urn:lsid:marinespecies.org:taxname:104103,Family,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,,"Giesbrecht, 1893",SCOLECITHRICIDAE
Scyphozoa,urn:lsid:marinespecies.org:taxname:135220,Class,Animalia,Cnidaria,Scyphozoa,,,,"Goette, 1887",SCYPHOMEDUSA
Siphonophora,urn:lsid:marinespecies.org:taxname:254409,Order,Animalia,Cnidaria,Hydrozoa,Siphonophora,,,"Eschscholtz, 1829",SIPHONOPHORA
Solmissus,urn:lsid:marinespecies.org:taxname:117074,Genus,Animalia,Cnidaria,Hydrozoa,Narcomedusae,Cuninidae,Solmissus,"Haeckel, 1879",SOLMISSUS
Spinocalanus brevicaudatus,urn:lsid:marinespecies.org:taxname:104848,Species,Animalia,Arthropoda,Copepoda,Calanoida,Spinocalanidae,Spinocalanus,"Brodsky, 1950",SPINOCALANUS BREVICAUDATUS
Stomotoca atra,urn:lsid:marinespecies.org:taxname:221202,Species,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Stomotoca,"L. Agassiz, 1862",STOMOTOCA ATRA
Siphonostomatoida,urn:lsid:marinespecies.org:taxname:1104,Order,Animalia,Arthropoda,Copepoda,Siphonostomatoida,,,"Burmeister, 1835",Siphonostomatoida
Syngnathidae,urn:lsid:marinespecies.org:taxname:125606,Family,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,,"Bonaparte, 1831",Syngnathidae
Tanaidacea,urn:lsid:marinespecies.org:taxname:1133,Order,Animalia,Arthropoda,Malacostraca,Tanaidacea,,,"Dana, 1849",TANAIDACEA
Tegastes,urn:lsid:marinespecies.org:taxname:115447,Genus,Animalia,Arthropoda,Copepoda,Harpacticoida,Tegastidae,Tegastes,"Norman, 1903",TEGASTES
Tharybis fultoni,urn:lsid:marinespecies.org:taxname:356103,Species,Animalia,Arthropoda,Copepoda,Calanoida,Tharybidae,Tharybis,"Park, 1967",THARYBIS FULTONI
Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,"(Stebbing, 1888)",THEMISTO PACIFICA
Thysanoessa,urn:lsid:marinespecies.org:taxname:110679,Genus,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"Brandt, 1851",THYSANOESSA
Thysanoessa inspinata,urn:lsid:marinespecies.org:taxname:237872,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"Nemoto, 1963",THYSANOESSA INSPINATA
Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"(Brandt, 1851)",THYSANOESSA LONGIPES
Thysanoessa raschii,urn:lsid:marinespecies.org:taxname:110711,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"(M. Sars, 1863)",THYSANOESSA RASCHII
Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"Holmes, 1900",THYSANOESSA SPINIFERA
Tiaropsis,urn:lsid:marinespecies.org:taxname:117252,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Tiaropsidae,Tiaropsis,"Agassiz, 1849",TIAROPSIS
Tisbe,urn:lsid:marinespecies.org:taxname:115484,Genus,Animalia,Arthropoda,Copepoda,Harpacticoida,Tisbidae,Tisbe,"Lilljeborg, 1853",TISBE
Tomopteris,urn:lsid:marinespecies.org:taxname:129715,Genus,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,"Eschscholtz, 1825",TOMOPTERIS
Tortanus,urn:lsid:marinespecies.org:taxname:157683,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,"Giesbrecht in Giesbrecht & Schmeil, 1898",TORTANUS
Tortanus discaudatus,urn:lsid:marinespecies.org:taxname:157684,Species,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,"(Thompson I.C. & Scott A.) In Herdman, Thompson & Scott, 1897)",TORTANUS DISCAUDATUS
Triconia,urn:lsid:marinespecies.org:taxname:128691,Genus,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"Böttger-Schnack, 1999",TRICONIA
Triconia,urn:lsid:marinespecies.org:taxname:128691,Genus,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"Böttger-Schnack, 1999",TRICONIA (tiny)
Triconia borealis,urn:lsid:marinespecies.org:taxname:128956,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"(Sars G.O., 1918)",TRICONIA BOREALIS
Triconia canadensis,urn:lsid:marinespecies.org:taxname:385744,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"(Heron & Frost, 2000)",TRICONIA CANADENSIS
Triconia conifera,urn:lsid:marinespecies.org:taxname:128957,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"(Giesbrecht, 1891)",TRICONIA CONIFERA
Triconia minuta,urn:lsid:marinespecies.org:taxname:128960,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"(Giesbrecht, 1893)",TRICONIA MINUTA
Triconia similis,urn:lsid:marinespecies.org:taxname:128961,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,"(Sars G.O., 1918)",TRICONIA SIMILIS
Telmessus cheiragonus,urn:lsid:marinespecies.org:taxname:254360,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Telmessus,"(Tilesius, 1815)",Telmessus cheiragonus
Teuthida,urn:lsid:marinespecies.org:taxname:11716,Order,Animalia,Mollusca,Cephalopoda,Teuthida,,,"Naef, 1916",Teuthida
Tortanus,urn:lsid:marinespecies.org:taxname:157683,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,"Giesbrecht in Giesbrecht & Schmeil, 1898",Tortanus
Animalia,urn:lsid:marinespecies.org:taxname:2,Kingdom,Animalia,,,,,,,UNKNOWN
Upogebiidae,urn:lsid:marinespecies.org:taxname:106803,Family,Animalia,Arthropoda,Malacostraca,Decapoda,Upogebiidae,,"Borradaile, 1903",UPOGEBIIDAE
Animalia,urn:lsid:marinespecies.org:taxname:2,Kingdom,Animalia,,,,,,,Unknown
Annelida,urn:lsid:marinespecies.org:taxname:882,Phylum,Animalia,Annelida,,,,,"Lamarck, 1802 [as Annelides]",WORM
Xanthoidea,urn:lsid:marinespecies.org:taxname:106703,Superfamily,Animalia,Arthropoda,Malacostraca,Decapoda,,,"MacLeay, 1838",XANTHOIDEA
Xenacanthomysis pseudomacropsis,urn:lsid:marinespecies.org:taxname:226851,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Xenacanthomysis,"(W. Tattersall, 1933)",XENACANTHOMYSIS PSEUDOMACROPSIS
Xantharus cryeri,urn:lsid:marinespecies.org:taxname:348310,Species,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Xantharus,"Bradford-Grieve, 2005",Xantharus cryeri
Zaus,urn:lsid:marinespecies.org:taxname:115352,Genus,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Zaus,"Goodsir, 1845",ZAUS
